"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1255.56,1069.44,74.6334,63.5705,0,0,0,0,0
1,1255.56,1069.44,74.5494,63.5682,-0.0839349,-0.00228524,0.00130834,-0.000110417,-0.000183282
2,1255.56,1069.44,74.4179,63.5467,-0.215414,-0.0237066,0.00157646,-0.00251151,-0.000147961
3,1255.56,1069.44,74.2832,63.5065,-0.350191,-0.0639063,0.00267932,-0.00194673,-3.1301e-05
4,1255.56,1069.44,74.1557,63.4804,-0.477698,-0.0900435,0.00369582,-0.00357548,-0.000886554
5,1255.56,1069.44,74.03,63.5058,-0.603412,-0.0646796,0.00504669,-0.00304449,0.000302059
6,1255.56,1069.44,73.9096,63.4744,-0.723713,-0.0960439,0.0074616,-0.00618043,-0.000676003
7,1255.56,1069.44,73.7804,63.4432,-0.852961,-0.127238,0.00829586,-0.00451238,-0.000441404
8,1255.56,1069.44,73.6619,63.4351,-0.971492,-0.13536,0.0103569,-0.00498707,-0.000646252
9,1255.56,1069.44,73.5317,63.459,-1.10166,-0.111416,0.0121691,-0.00625195,0.000202125
10,1255.56,1069.44,73.4006,63.4267,-1.2328,-0.143762,0.0132413,-0.00823304,-5.47384e-05
