"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1347.5,919.167,80.0988,54.6376,0,0,0,0,0
1,1347.5,919.167,80.0153,54.6384,-0.0834656,0.000835422,0.000927531,-0.000100494,0.0002849
2,1347.5,919.167,79.8852,54.618,-0.213524,-0.0195269,0.00130388,-0.00263435,0.000504579
3,1347.5,919.167,79.7563,54.5873,-0.342447,-0.0502416,0.00249269,-0.000901886,-0.00126562
4,1347.5,919.167,79.633,54.5706,-0.46576,-0.0669266,0.00219854,-0.00224202,-0.000962654
5,1347.5,919.167,79.5114,54.5941,-0.587408,-0.0434335,0.0033602,-0.0028178,-0.0011885
6,1347.5,919.167,79.3914,54.5747,-0.707384,-0.062884,0.00307063,-0.00304439,-0.0014306
7,1347.5,919.167,79.2744,54.5421,-0.824401,-0.0954299,0.00531945,-0.00342614,-0.00241739
8,1347.5,919.167,79.1585,54.5405,-0.94023,-0.0970649,0.00634021,-0.00372815,-0.00203186
9,1347.5,919.167,79.036,54.574,-1.06278,-0.0636164,0.00663205,-0.00335786,-0.00181267
10,1347.5,919.167,78.9122,54.5473,-1.18656,-0.0902346,0.00789211,-0.00480631,-0.00338059
